MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,221","+/-1,727",(X),(X),"40,637","+/-1,286",(X),(X),"25,831","+/-1,449",(X),(X)
Less than high school graduate,"26,504","+/-2,195",(X),(X),"30,755","+/-4,192",(X),(X),"13,333","+/-8,156",(X),(X)
High school graduate (includes equivalency),"30,582","+/-1,381",(X),(X),"38,576","+/-3,046",(X),(X),"21,629","+/-2,157",(X),(X)
Some college or associate's degree,"32,146","+/-2,259",(X),(X),"40,871","+/-2,467",(X),(X),"26,046","+/-1,965",(X),(X)
Bachelor's degree,"43,289","+/-3,010",(X),(X),"51,791","+/-1,946",(X),(X),"35,473","+/-6,425",(X),(X)
Graduate or professional degree,"57,760","+/-8,249",(X),(X),"72,721","+/-16,383",(X),(X),"51,983","+/-7,980",(X),(X)
