MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,507","+/-1,542",(X),(X),"39,647","+/-3,102",(X),(X),"27,646","+/-1,531",(X),(X)
Less than high school graduate,"22,212","+/-6,055",(X),(X),"27,422","+/-8,310",(X),(X),"19,926","+/-6,783",(X),(X)
High school graduate (includes equivalency),"30,322","+/-2,330",(X),(X),"35,675","+/-4,767",(X),(X),"23,016","+/-3,348",(X),(X)
Some college or associate's degree,"33,211","+/-2,409",(X),(X),"42,883","+/-3,548",(X),(X),"28,173","+/-1,718",(X),(X)
Bachelor's degree,"44,091","+/-11,726",(X),(X),"58,155","+/-5,875",(X),(X),"39,592","+/-3,412",(X),(X)
Graduate or professional degree,"64,028","+/-9,842",(X),(X),"79,402","+/-45,503",(X),(X),"55,395","+/-7,176",(X),(X)
