MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,274","+/-1,354",(X),(X),"38,538","+/-5,524",(X),(X),"23,904","+/-3,019",(X),(X)
Less than high school graduate,"20,938","+/-10,984",(X),(X),"30,430","+/-8,285",(X),(X),"12,589","+/-10,280",(X),(X)
High school graduate (includes equivalency),"29,262","+/-2,957",(X),(X),"35,960","+/-4,844",(X),(X),"21,684","+/-2,506",(X),(X)
Some college or associate's degree,"32,042","+/-4,177",(X),(X),"41,535","+/-5,887",(X),(X),"29,730","+/-2,993",(X),(X)
Bachelor's degree,"50,737","+/-3,071",(X),(X),"55,792","+/-4,881",(X),(X),"47,500","+/-9,626",(X),(X)
Graduate or professional degree,"42,222","+/-5,779",(X),(X),-,**,(X),(X),"41,538","+/-6,900",(X),(X)
