MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,841","+/-1,721",(X),(X),"36,272","+/-5,052",(X),(X),"21,654","+/-2,441",(X),(X)
Less than high school graduate,"21,250","+/-9,865",(X),(X),"27,022","+/-9,795",(X),(X),"13,839","+/-9,264",(X),(X)
High school graduate (includes equivalency),"29,715","+/-2,205",(X),(X),"34,792","+/-6,603",(X),(X),"20,915","+/-2,656",(X),(X)
Some college or associate's degree,"29,567","+/-2,496",(X),(X),"40,883","+/-2,831",(X),(X),"25,495","+/-5,990",(X),(X)
Bachelor's degree,"48,563","+/-11,737",(X),(X),"55,382","+/-9,423",(X),(X),-,**,(X),(X)
Graduate or professional degree,"43,750","+/-19,262",(X),(X),"250,000+",***,(X),(X),"42,237","+/-6,832",(X),(X)
