MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"39,847","+/-1,281",(X),(X),"48,197","+/-2,688",(X),(X),"31,248","+/-1,136",(X),(X)
Less than high school graduate,"23,888","+/-3,753",(X),(X),"29,821","+/-6,552",(X),(X),"20,598","+/-2,982",(X),(X)
High school graduate (includes equivalency),"31,226","+/-1,235",(X),(X),"36,509","+/-1,863",(X),(X),"25,550","+/-1,219",(X),(X)
Some college or associate's degree,"36,528","+/-1,212",(X),(X),"50,455","+/-2,158",(X),(X),"28,156","+/-2,406",(X),(X)
Bachelor's degree,"51,287","+/-1,726",(X),(X),"62,917","+/-4,473",(X),(X),"41,957","+/-2,354",(X),(X)
Graduate or professional degree,"66,641","+/-5,552",(X),(X),"85,088","+/-10,790",(X),(X),"52,463","+/-3,860",(X),(X)
