MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,395",+/-855,(X),(X),"38,989","+/-3,030",(X),(X),"22,872","+/-4,342",(X),(X)
Less than high school graduate,"13,867","+/-7,899",(X),(X),"21,912","+/-13,628",(X),(X),"11,705","+/-6,042",(X),(X)
High school graduate (includes equivalency),"30,580","+/-1,562",(X),(X),"37,996","+/-4,871",(X),(X),"20,483","+/-1,410",(X),(X)
Some college or associate's degree,"31,037","+/-1,077",(X),(X),"38,558","+/-2,786",(X),(X),"25,981","+/-2,412",(X),(X)
Bachelor's degree,"41,453","+/-4,199",(X),(X),"57,143","+/-26,933",(X),(X),"37,827","+/-6,545",(X),(X)
Graduate or professional degree,"62,583","+/-6,242",(X),(X),"64,583","+/-9,689",(X),(X),"60,192","+/-41,824",(X),(X)
