MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,689",+/-459,(X),(X),"38,976","+/-1,559",(X),(X),"25,103",+/-787,(X),(X)
Less than high school graduate,"24,172","+/-1,900",(X),(X),"30,576","+/-2,260",(X),(X),"15,849","+/-2,412",(X),(X)
High school graduate (includes equivalency),"29,494","+/-1,235",(X),(X),"35,826",+/-955,(X),(X),"21,652",+/-947,(X),(X)
Some college or associate's degree,"32,166",+/-838,(X),(X),"41,215","+/-1,092",(X),(X),"26,453","+/-1,089",(X),(X)
Bachelor's degree,"40,027","+/-2,172",(X),(X),"50,181","+/-3,131",(X),(X),"32,467","+/-1,513",(X),(X)
Graduate or professional degree,"54,873","+/-3,270",(X),(X),"61,579","+/-7,117",(X),(X),"51,763","+/-3,058",(X),(X)
