MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,770","+/-1,032",(X),(X),"42,123",+/-815,(X),(X),"25,902",+/-737,(X),(X)
Less than high school graduate,"26,320","+/-1,028",(X),(X),"32,165","+/-1,673",(X),(X),"17,082","+/-1,579",(X),(X)
High school graduate (includes equivalency),"31,218",+/-755,(X),(X),"40,179","+/-1,308",(X),(X),"22,740","+/-1,492",(X),(X)
Some college or associate's degree,"34,398","+/-1,666",(X),(X),"43,169","+/-2,624",(X),(X),"27,025","+/-1,171",(X),(X)
Bachelor's degree,"43,049","+/-2,051",(X),(X),"56,068","+/-4,987",(X),(X),"33,083","+/-3,572",(X),(X)
Graduate or professional degree,"56,346","+/-3,462",(X),(X),"61,842","+/-4,250",(X),(X),"52,147","+/-2,201",(X),(X)
