MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,169",+/-482,(X),(X),"40,237",+/-870,(X),(X),"26,954",+/-908,(X),(X)
Less than high school graduate,"19,117","+/-1,847",(X),(X),"21,502","+/-4,759",(X),(X),"16,771","+/-2,112",(X),(X)
High school graduate (includes equivalency),"27,523","+/-1,047",(X),(X),"32,818","+/-2,158",(X),(X),"22,717","+/-1,040",(X),(X)
Some college or associate's degree,"30,965",+/-741,(X),(X),"40,669","+/-1,280",(X),(X),"25,177","+/-1,216",(X),(X)
Bachelor's degree,"40,932",+/-995,(X),(X),"50,351","+/-3,299",(X),(X),"34,589","+/-2,194",(X),(X)
Graduate or professional degree,"55,639","+/-4,966",(X),(X),"69,375","+/-7,456",(X),(X),"46,518","+/-4,779",(X),(X)
