MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,417",+/-711,(X),(X),"35,738","+/-1,272",(X),(X),"25,108","+/-1,126",(X),(X)
Less than high school graduate,"16,481","+/-1,720",(X),(X),"18,794","+/-3,147",(X),(X),"10,856","+/-4,409",(X),(X)
High school graduate (includes equivalency),"27,252","+/-1,536",(X),(X),"33,032","+/-2,032",(X),(X),"21,196","+/-1,794",(X),(X)
Some college or associate's degree,"30,131","+/-1,356",(X),(X),"36,493","+/-2,708",(X),(X),"25,139","+/-1,480",(X),(X)
Bachelor's degree,"40,196","+/-2,754",(X),(X),"47,266","+/-6,348",(X),(X),"36,212","+/-1,657",(X),(X)
Graduate or professional degree,"50,259","+/-3,779",(X),(X),"51,152","+/-9,376",(X),(X),"48,800","+/-8,478",(X),(X)
